Q,Comment,A,Q,Comment,A,Q,Comment,A,Q,Comment,A,Q,Comment,A,Q,Comment,A,Q,Comment,A
ご相談内容を選んでください,,個人向け支援の種類を探す,困りごとはなんですか？,,生活費・家賃,生活費・家賃についてどんな相談がありますか？,,新型コロナで収入の減少があり生計の維持が必要（休業された方向け）,,総合支援資金（貸付）が利用できます。<br>無利子・保証不要・１年間据置10年返済です。<br>・貸付上限額は、下記のようになっています。<br>　・2人以上世帯　月20万円以内<br>　・単身世帯　月15万円以内<br>　貸付期間は、原則３ヶ月以内最大60万円<br>対象者は、新型コロナウイルスの影響を受け、収入の減少や失業等により生活に困窮し、日常生活の維持が困難となっている世帯<br>【窓口】各市町村の社会福祉協議会,静岡県西部の社会福祉協議会,,・浜松市社会福祉協議会<br>　053-453-0580<br>　http://www.hamamatsu-syakyou.jp/<br>・磐田市社会福祉協議会<br>　0538-37-4824<br>　http://www.iwatashakyo.or.jp/<br>・掛川市社会福祉協議会<br>　0537-22-1294<br>　http://www.kakegawa-syakyo.or.jp/<br>・袋井市社会福祉協議会<br>　0538-42-7914<br>　http://www.fukuroi-shakyo.or.jp/<br>・湖西市社会福祉協議会<br>　053-575-0294<br>　http://www.kosai-sk.or.jp/<br>・菊川市社会福祉協議会<br>　0537-35-3724<br>　https://kiku-syakyou.or.jp/<br>・御前崎市社会福祉協議会<br>　0548-63-5294<br>　http://www.omaezakishakyo.jp/<br>・森町社会福祉協議会<br>　0538-85-5769<br>　http://www.mori-shakyou.com/,,,,,,,
,,,,,,,,,,,静岡県中部の社会福祉協議会,,・静岡市社会福祉協議会<br>　054-254-5213<br>　https://www.shizuoka-shakyo.or.jp/<br>・島田市社会福祉協議会<br>　0547-35-6247<br>　https://www.shimada-shakyo.jp/<br>・焼津市社会福祉協議会<br>　054-621-2941<br>　http://www.yaizu-shakyo.or.jp/<br>・藤枝市社会福祉協議会<br>　054-667-2940<br>　http://www.fujiedashakyo.jp/<br>・牧之原市社会福祉協議会<br>　0548-52-3500<br>　http://www.makinohara-shakyo.jp/<br>・吉田町社会福祉協議会<br>　0548-34-1800<br>　https://www.yoshida-shakyo.jp/<br>・川根本町社会福祉協議会<br>　0547-59-2315<br>　http://kh-syakyo.com/index.php,,,,,,,
,,,,,,,,,,,静岡県東部の社会福祉協議会,,・富士市社会福祉協議会<br>　0545-64-6600<br>　http://fujishishakyo.com/<br>・沼津市社会福祉協議会<br>　055-922-1500<br>　http://numazu-shakyo.jp/<br>・三島市社会福祉協議会<br>　055-972-3221<br>　http://mishimashakyo.jp/<br>・富士宮市社会福祉協議会<br>　0544-22-0054<br>　http://www.f-syakyo.or.jp/<br>・御殿場市社会福祉協議会<br>　0550-70-6801<br>　http://gosyakyo.jp/<br>・裾野市社会福祉協議会<br>　055-992-5750<br>　http://www.syakyo-susono.or.jp/<br>・函南町社会福祉協議会<br>　055-978-9288<br>　http://www.kannami-syakyo.jp/<br>・清水町社会福祉協議会<br>　055-981-1665<br>　http://shimizu-syakyo.jp/<br>・長泉町社会福祉協議会<br>　055-988-3920<br>　https://www.nagaizumi-shakyo.jp/<br>・小山町社会福祉協議会<br>　0550-76-9906<br>　http://www.fuji-oyama-wel.jp/,,,,,,,
,,,,,,,,,,,静岡県伊豆の社会福祉協議会,,・熱海市社会福祉協議会<br>　0557-86-6339<br>　http://e-sites.jp/web/syakyo/index.php<br>・伊東市社会福祉協議会<br>　0557-36-5512<br>　http://itosyakyo.sakura.ne.jp/<br>・下田市社会福祉協議会<br>　0558-22-3294<br>　https://www.shakyo.or.jp/hp/1001/<br>・伊豆市社会福祉協議会<br>　0558-83-3013<br>　http://izushakyo.com/<br>・伊豆の国市社会福祉協議会<br>　055-949-5818<br>　http://izunokuni-wel.jp/<br>・東伊豆町社会福祉協議会<br>　0557-22-1294<br>　http://www.i-younet.ne.jp/~shakyou/<br>・河津町社会福祉協議会<br>　0558-34-1286<br>　https://www.shakyo.or.jp/hp/1010/<br>・南伊豆町社会福祉協議会<br>　0558-62-3156<br>　https://www.shakyo.or.jp/hp/1011/<br>・松崎町社会福祉協議会<br>　0558-42-2719<br>　https://www.shakyo.or.jp/hp/index.php?s=1012<br>・西伊豆町社会福祉協議会<br>　0558-55-1313<br>　https://www.shakyo.or.jp/hp/index.php?s=1013,,,,,,,
,,,,,,,,新型コロナで収入減や失業など生活に困窮している（失業された方等向け）,,住居確保給付金が利用できる可能性があります。<br>利用条件緩和も試算・収入要件あり<br>・３カ月間の家賃相当額（休職中なら最大９ヶ月間）を家主に給付<br>【窓口】自治体の自立相談支援機関,静岡県西部の社会福祉協議会,,・浜松市社会福祉協議会<br>　053-453-0580<br>　http://www.hamamatsu-syakyou.jp/<br>・磐田市社会福祉協議会<br>　0538-37-4824<br>　http://www.iwatashakyo.or.jp/<br>・掛川市社会福祉協議会<br>　0537-22-1294<br>　http://www.kakegawa-syakyo.or.jp/<br>・袋井市社会福祉協議会<br>　0538-42-7914<br>　http://www.fukuroi-shakyo.or.jp/<br>・湖西市社会福祉協議会<br>　053-575-0294<br>　http://www.kosai-sk.or.jp/<br>・菊川市社会福祉協議会<br>　0537-35-3724<br>　https://kiku-syakyou.or.jp/<br>・御前崎市社会福祉協議会<br>　0548-63-5294<br>　http://www.omaezakishakyo.jp/<br>・森町社会福祉協議会<br>　0538-85-5769<br>　http://www.mori-shakyou.com/,,,,,,,
,,,,,,,,,,,静岡県中部の社会福祉協議会,,・静岡市社会福祉協議会<br>　054-254-5213<br>　https://www.shizuoka-shakyo.or.jp/<br>・島田市社会福祉協議会<br>　0547-35-6247<br>　https://www.shimada-shakyo.jp/<br>・焼津市社会福祉協議会<br>　054-621-2941<br>　http://www.yaizu-shakyo.or.jp/<br>・藤枝市社会福祉協議会<br>　054-667-2940<br>　http://www.fujiedashakyo.jp/<br>・牧之原市社会福祉協議会<br>　0548-52-3500<br>　http://www.makinohara-shakyo.jp/<br>・吉田町社会福祉協議会<br>　0548-34-1800<br>　https://www.yoshida-shakyo.jp/<br>・川根本町社会福祉協議会<br>　0547-59-2315<br>　http://kh-syakyo.com/index.php,,,,,,,
,,,,,,,,,,,静岡県東部の社会福祉協議会,,・富士市社会福祉協議会<br>　0545-64-6600<br>　http://fujishishakyo.com/<br>・沼津市社会福祉協議会<br>　055-922-1500<br>　http://numazu-shakyo.jp/<br>・三島市社会福祉協議会<br>　055-972-3221<br>　http://mishimashakyo.jp/<br>・富士宮市社会福祉協議会<br>　0544-22-0054<br>　http://www.f-syakyo.or.jp/<br>・御殿場市社会福祉協議会<br>　0550-70-6801<br>　http://gosyakyo.jp/<br>・裾野市社会福祉協議会<br>　055-992-5750<br>　http://www.syakyo-susono.or.jp/<br>・函南町社会福祉協議会<br>　055-978-9288<br>　http://www.kannami-syakyo.jp/<br>・清水町社会福祉協議会<br>　055-981-1665<br>　http://shimizu-syakyo.jp/<br>・長泉町社会福祉協議会<br>　055-988-3920<br>　https://www.nagaizumi-shakyo.jp/<br>・小山町社会福祉協議会<br>　0550-76-9906<br>　http://www.fuji-oyama-wel.jp/,,,,,,,
,,,,,,,,,,,静岡県伊豆の社会福祉協議会,,・熱海市社会福祉協議会<br>　0557-86-6339<br>　http://e-sites.jp/web/syakyo/index.php<br>・伊東市社会福祉協議会<br>　0557-36-5512<br>　http://itosyakyo.sakura.ne.jp/<br>・下田市社会福祉協議会<br>　0558-22-3294<br>　https://www.shakyo.or.jp/hp/1001/<br>・伊豆市社会福祉協議会<br>　0558-83-3013<br>　http://izushakyo.com/<br>・伊豆の国市社会福祉協議会<br>　055-949-5818<br>　http://izunokuni-wel.jp/<br>・東伊豆町社会福祉協議会<br>　0557-22-1294<br>　http://www.i-younet.ne.jp/~shakyou/<br>・河津町社会福祉協議会<br>　0558-34-1286<br>　https://www.shakyo.or.jp/hp/1010/<br>・南伊豆町社会福祉協議会<br>　0558-62-3156<br>　https://www.shakyo.or.jp/hp/1011/<br>・松崎町社会福祉協議会<br>　0558-42-2719<br>　https://www.shakyo.or.jp/hp/index.php?s=1012<br>・西伊豆町社会福祉協議会<br>　0558-55-1313<br>　https://www.shakyo.or.jp/hp/index.php?s=1013,,,,,,,
,,,,,,,,「離職・廃業から2年以内」または「休業等の収入減で離職等と同程度の状況」,,住居確保給付金が利用できる可能性があります。<br>利用条件緩和も試算・収入要件あり<br>・３カ月間の家賃相当額（休職中なら最大９ヶ月間）を家主に給付<br>【窓口】自治体の自立相談支援機関<br>休業手当支払いで雇用調整助成金があります。<br>・会社の指示による休業の際など、賃金の６割以上を支給します（労基法）。<br>【窓口】勤め先,静岡県西部の社会福祉協議会,,・浜松市社会福祉協議会<br>　053-453-0580<br>　http://www.hamamatsu-syakyou.jp/<br>・磐田市社会福祉協議会<br>　0538-37-4824<br>　http://www.iwatashakyo.or.jp/<br>・掛川市社会福祉協議会<br>　0537-22-1294<br>　http://www.kakegawa-syakyo.or.jp/<br>・袋井市社会福祉協議会<br>　0538-42-7914<br>　http://www.fukuroi-shakyo.or.jp/<br>・湖西市社会福祉協議会<br>　053-575-0294<br>　http://www.kosai-sk.or.jp/<br>・菊川市社会福祉協議会<br>　0537-35-3724<br>　https://kiku-syakyou.or.jp/<br>・御前崎市社会福祉協議会<br>　0548-63-5294<br>　http://www.omaezakishakyo.jp/<br>・森町社会福祉協議会<br>　0538-85-5769<br>　http://www.mori-shakyou.com/,,,,,,,
,,,,,,,,,,,静岡県中部の社会福祉協議会,,・静岡市社会福祉協議会<br>　054-254-5213<br>　https://www.shizuoka-shakyo.or.jp/<br>・島田市社会福祉協議会<br>　0547-35-6247<br>　https://www.shimada-shakyo.jp/<br>・焼津市社会福祉協議会<br>　054-621-2941<br>　http://www.yaizu-shakyo.or.jp/<br>・藤枝市社会福祉協議会<br>　054-667-2940<br>　http://www.fujiedashakyo.jp/<br>・牧之原市社会福祉協議会<br>　0548-52-3500<br>　http://www.makinohara-shakyo.jp/<br>・吉田町社会福祉協議会<br>　0548-34-1800<br>　https://www.yoshida-shakyo.jp/<br>・川根本町社会福祉協議会<br>　0547-59-2315<br>　http://kh-syakyo.com/index.php,,,,,,,
